stationid,grouping
31502,0
31113,0
31112,0
31111,2
31110,2
31116,0
31115,0
31608,0
31614,0
31615,0
31616,2
31503,2
31610,0
31300,0
31612,0
31613,1
31243,0
31618,0
31619,2
31041,0
31040,0
31043,0
31042,0
31045,0
31044,0
31209,0
31046,0
31049,0
31048,0
31205,1
31204,1
31203,2
31202,2
31201,2
31200,1
31999,0
31901,0
31052,0
31219,1
31050,0
31051,0
31504,0
31505,0
31506,0
31507,0
31210,0
31211,0
31212,1
31213,1
31214,2
31215,1
31216,1
31217,1
31401,0
31400,2
31402,0
31404,0
31231,1
31248,0
31218,1
31501,0
31900,0
31236,1
31902,0
31104,2
31105,2
31106,0
31107,2
31100,1
31101,2
31102,2
31103,2
31108,2
31109,2
31628,0
31249,0
31240,0
31009,0
31008,0
31005,0
31004,0
31007,0
31006,0
31001,0
31000,0
31003,0
31002,0
31508,0
31617,0
31245,0
32901,0
31244,0
31611,2
31621,0
31708,0
31306,0
31307,0
31304,0
31305,0
31302,0
31303,0
31018,0
31019,0
31016,0
31017,0
31014,0
31015,0
31012,0
31013,0
31010,0
31011,0
31888,0
31805,0
31804,0
31806,0
31801,0
31803,0
31802,0
31609,0
31029,0
31028,0
31047,0
31023,0
31022,0
31021,0
31208,1
31027,0
31026,0
31025,0
31024,0
31207,0
31206,1
31702,0
31703,0
31700,0
31701,0
31706,0
31707,0
31704,0
31705,0
31242,0
31254,0
31255,0
31256,0
31257,0
31250,0
31251,0
31252,0
31253,0
31625,0
31624,1
31626,0
31258,0
31620,1
31623,1
31622,2
31241,0
31301,0
31232,1
31233,1
31230,1
31221,1
31220,1
31223,0
31222,1
31225,1
31224,1
31227,1
31226,0
31229,2
31228,1
31237,0
31020,0
31247,0
31234,0
31500,0
31235,1
31601,0
31246,0
31600,2
31607,2
31606,0
31034,0
31035,0
31036,0
31037,0
31030,0
31031,0
31032,0
31033,0
31603,0
31602,2
31238,1
31239,0
31038,0
31039,0
31605,0
31604,0
